Winery,Alkohol,Gesamtsäure,Restzucker,Rebsorte,Jahrgang,Region
Schwarzenbach,13.2,5.45,1.6,Räuschling,2022,Deutschweiz
St. Jodern Kellerei,13.6,3.54,2.4,Heida,2022,Wallis
Mounir Weine,13.4,3.37,2.3,Cave du Rhodan,2021,Wallis
Caves du Chambleau,13.8,4.94,1.3,Pinot Noir,2021,Drei-Seen Region
Grand'Cour,14,4.34,1,Cabernet Frac,2020,Genf
Pircher,14.1,5.39,0.7,Pinot Noir,2020,Deutschschweiz
Castello di Morcote,13.5,5.94,0.7,Merlot,2020,Tessin
Wegelin,13.3,6.16,0.7,Pinot Gris,2022,Deutschschweiz
Donatsch,14.8,6.52,6.4,Completer,2022,Deutschschweiz
Schmidheiny,13.5,5.33,0.3,Pinot Noir,2022,Deutschschweiz
Osterfingen,13,4.87,1.3,Pinot Blanc,2022,Deutschschweiz
Domaine des Muses,13.4,3.01,5.2,Humagne Blanche,2022,Wallis
Domaine des Muses,13.1,4.2,3.9,Humagne Blanche,2018,Wallis
Domaine des Muses,13,4.4,4.2,Humagne Blanche,2015,Wallis
Domaine des Muses,12.9,4.7,4.7,Humagne Blanche,2012,Wallis
Domaine du Clos des Pins,13.4,4.63,0.6,Gamaret,2021,Genf
Domaine du Clos des Pins,14.3,4.5,2.1,Gamaret,2018,Genf
Domaine du Clos des Pins,13.7,4.1,1.1,Gamaret,2015,Genf
